symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
FIL-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),0.80310000,0.77229690,0.84006372,2026-09-03 00:13:22,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.452 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=0.000 [>= 0.6];✅ rawand EMA 1h: EMA21=0.78, EMA50=0.75;✅ rawand EMA 4h: EMA21=0.74, EMA50=0.72, EMA200=0.72;✅ RSI 30m: RSI=60.10;❌ MACD 30m: MACD_hist=0.0018;❌ vorud-e hoshmand poolback: ghimat=0.8031 EMA=0.7908 RSI=60.1 BS15=0.452;❌ ADX: ADX=17.22 [>22], DI+=410.27, DI-=289.73;✅ CCI obruz az 0: CCI=78.30;✅ SAR: SAR=0.7978, gimat=0.8031;✅ Stochastic cross: K=47.78 D=15.93;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;❌ Double Top/Bottom: bedun ologhu;✅ filter-e ranj: faseleh EMA=0.0174 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0174, ADX=17.22, mode=AND -> OK"
SOL-USDT,LONG,B1,موج تند (Fast Wave),100.21000000,99.14979000,101.27021000,2026-09-03 08:50:41,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=1.000 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];❌ rawand EMA 1h: EMA21=99.97, EMA50=100.50;✅ rawand EMA 4h: EMA21=101.19, EMA50=100.61, EMA200=88.93;✅ RSI 30m: RSI=52.14;✅ MACD 30m: MACD_hist=0.0312;❌ vorud-e hoshmand poolback: ghimat=100.2100 EMA=100.0864 RSI=52.1 BS15=1.000;✅ ADX: ADX=57.28 [>22], DI+=506.25, DI-=137.50;✅ CCI obruz az 0: CCI=71.01;✅ SAR: SAR=100.1092, gimat=100.2100;✅ Stochastic cross: K=46.48 D=15.49;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0017 [>0.005];❌ filter-e ranj-e tarkibi: diff=0.0017, ADX=57.28, mode=OR -> RAD"
LTC-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),50.07000000,49.41993000,50.85008400,2026-09-03 08:50:46,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.833 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=49.69, EMA50=49.42;✅ rawand EMA 4h: EMA21=49.40, EMA50=49.36, EMA200=47.86;✅ RSI 30m: RSI=57.31;✅ MACD 30m: MACD_hist=0.0234;❌ vorud-e hoshmand poolback: ghimat=50.0700 EMA=49.8721 RSI=57.3 BS15=0.833;❌ ADX: ADX=2.59 [>22], DI+=313.33, DI-=330.00;❌ CCI obruz az 0: CCI=107.13 [eshba-e kharid];❌ SAR: SAR=50.0860, gimat=50.0700;✅ Stochastic cross: K=65.93 D=21.98;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0052 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0052, ADX=2.59, mode=AND -> OK"
LTC-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),50.07000000,49.41993000,50.85008400,2026-09-03 08:50:46,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.833 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=49.69, EMA50=49.42;✅ rawand EMA 4h: EMA21=49.40, EMA50=49.36, EMA200=47.86;✅ RSI 30m: RSI=57.31;✅ MACD 30m: MACD_hist=0.0234;❌ vorud-e hoshmand poolback: ghimat=50.0700 EMA=49.8721 RSI=57.3 BS15=0.833;❌ ADX: ADX=2.59 [>22], DI+=313.33, DI-=330.00;❌ CCI obruz az 0: CCI=107.13 [eshba-e kharid];❌ SAR: SAR=50.0860, gimat=50.0700;✅ Stochastic cross: K=65.93 D=21.98;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0052 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0052, ADX=2.59, mode=AND -> OK"
SUI-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),0.76550000,0.73773450,0.79881860,2026-09-03 08:50:46,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.870 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.967 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=0.74, EMA50=0.73;❌ rawand EMA 4h: EMA21=0.74, EMA50=0.74, EMA200=0.73;✅ RSI 30m: RSI=60.84;❌ MACD 30m: MACD_hist=0.0012;❌ vorud-e hoshmand poolback: ghimat=0.7655 EMA=0.7528 RSI=60.8 BS15=0.870;✅ ADX: ADX=46.28 [>22], DI+=531.76, DI-=195.29;✅ CCI obruz az 0: CCI=87.04;✅ SAR: SAR=0.7640, gimat=0.7655;✅ Stochastic cross: K=67.71 D=22.57;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;❌ Double Top/Bottom: bedun ologhu;✅ filter-e ranj: faseleh EMA=0.0170 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0170, ADX=46.28, mode=AND -> OK"
SUI-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),0.76550000,0.73773450,0.79881860,2026-09-03 08:50:47,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.870 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.967 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=0.74, EMA50=0.73;❌ rawand EMA 4h: EMA21=0.74, EMA50=0.74, EMA200=0.73;✅ RSI 30m: RSI=60.84;❌ MACD 30m: MACD_hist=0.0012;❌ vorud-e hoshmand poolback: ghimat=0.7655 EMA=0.7528 RSI=60.8 BS15=0.870;✅ ADX: ADX=46.28 [>22], DI+=531.76, DI-=195.29;✅ CCI obruz az 0: CCI=87.04;✅ SAR: SAR=0.7640, gimat=0.7655;✅ Stochastic cross: K=67.71 D=22.57;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;❌ Double Top/Bottom: bedun ologhu;✅ filter-e ranj: faseleh EMA=0.0170 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0170, ADX=46.28, mode=AND -> OK"
SUI-USDT,LONG,B1,موج تند (Fast Wave),0.76550000,0.73773450,0.79326550,2026-09-03 08:50:47,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.870 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.967 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=0.74, EMA50=0.73;❌ rawand EMA 4h: EMA21=0.74, EMA50=0.74, EMA200=0.73;✅ RSI 30m: RSI=60.84;✅ MACD 30m: MACD_hist=0.0012;❌ vorud-e hoshmand poolback: ghimat=0.7655 EMA=0.7528 RSI=60.8 BS15=0.870;✅ ADX: ADX=46.28 [>22], DI+=531.76, DI-=195.29;✅ CCI obruz az 0: CCI=87.04;✅ SAR: SAR=0.7640, gimat=0.7655;✅ Stochastic cross: K=67.71 D=22.57;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;❌ Double Top/Bottom: bedun ologhu;✅ filter-e ranj: faseleh EMA=0.0170 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0170, ADX=46.28, mode=OR -> OK"
NEAR-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),1.88670000,1.84921330,1.93168404,2026-09-03 08:50:52,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.824 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.900 [khayli bala - ehtemal-e payan-e harakat];❌ rawand EMA 1h: EMA21=1.88, EMA50=1.88;✅ rawand EMA 4h: EMA21=1.89, EMA50=1.88, EMA200=1.80;✅ RSI 30m: RSI=52.92;❌ MACD 30m: MACD_hist=0.0018;❌ vorud-e hoshmand poolback: ghimat=1.8867 EMA=1.8804 RSI=52.9 BS15=0.824;✅ ADX: ADX=27.31 [>22], DI+=426.05, DI-=243.26;✅ CCI obruz az 0: CCI=83.65;✅ SAR: SAR=1.8783, gimat=1.8867;✅ Stochastic cross: K=55.89 D=18.63;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0019 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0019, ADX=27.31, mode=AND -> OK"
NEAR-USDT,LONG,S3,الماس فیلسوف (Diamond Mind),1.88670000,1.84921330,1.93168404,2026-09-03 08:50:52,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.824 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.900 [khayli bala - ehtemal-e payan-e harakat];❌ rawand EMA 1h: EMA21=1.88, EMA50=1.88;✅ rawand EMA 4h: EMA21=1.89, EMA50=1.88, EMA200=1.80;✅ RSI 30m: RSI=52.92;❌ MACD 30m: MACD_hist=0.0018;❌ vorud-e hoshmand poolback: ghimat=1.8867 EMA=1.8804 RSI=52.9 BS15=0.824;✅ ADX: ADX=27.31 [>22], DI+=426.05, DI-=243.26;✅ CCI obruz az 0: CCI=83.65;✅ SAR: SAR=1.8783, gimat=1.8867;✅ Stochastic cross: K=55.89 D=18.63;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0019 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0019, ADX=27.31, mode=AND -> OK"
NEAR-USDT,LONG,B1,موج تند (Fast Wave),1.88670000,1.84921330,1.92418670,2026-09-03 08:50:52,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=0.824 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.900 [khayli bala - ehtemal-e payan-e harakat];❌ rawand EMA 1h: EMA21=1.88, EMA50=1.88;✅ rawand EMA 4h: EMA21=1.89, EMA50=1.88, EMA200=1.80;✅ RSI 30m: RSI=52.92;✅ MACD 30m: MACD_hist=0.0018;❌ vorud-e hoshmand poolback: ghimat=1.8867 EMA=1.8804 RSI=52.9 BS15=0.824;✅ ADX: ADX=27.31 [>22], DI+=426.05, DI-=243.26;✅ CCI obruz az 0: CCI=83.65;✅ SAR: SAR=1.8783, gimat=1.8867;✅ Stochastic cross: K=55.89 D=18.63;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;❌ filter-e ranj: faseleh EMA=0.0019 [>0.005];❌ filter-e ranj-e tarkibi: diff=0.0019, ADX=27.31, mode=OR -> RAD"
FIL-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),0.80960000,0.79099040,0.83193152,2026-09-03 08:50:53,OPEN,,,,,10.00,,"❌ ghoodat-e kandel 15m: BS15=1.000 [khayli bala - ehtemal-e payan-e harakat];❌ ghoodat-e kandel 5m: BS5=0.000 [>= 0.6];✅ rawand EMA 1h: EMA21=0.80, EMA50=0.77;✅ rawand EMA 4h: EMA21=0.75, EMA50=0.73, EMA200=0.72;✅ RSI 30m: RSI=54.80;❌ MACD 30m: MACD_hist=-0.0004;❌ vorud-e hoshmand poolback: ghimat=0.8096 EMA=0.8035 RSI=54.8 BS15=1.000;❌ ADX: ADX=13.29 [>22], DI+=301.72, DI-=394.25;✅ CCI obruz az 0: CCI=83.95;✅ SAR: SAR=0.8020, gimat=0.8096;✅ Stochastic cross: K=48.18 D=16.06;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;❌ Double Top/Bottom: bedun ologhu;✅ filter-e ranj: faseleh EMA=0.0154 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0154, ADX=13.29, mode=AND -> OK"
SEI-USDT,LONG,S2,تیر نقره‌ای (Silver Arrow),0.04856000,0.04831144,0.04885827,2026-09-03 08:50:53,OPEN,,,,,10.00,,"✅ ghoodat-e kandel 15m: BS15=0.619 [>= 0.6];❌ ghoodat-e kandel 5m: BS5=1.000 [khayli bala - ehtemal-e payan-e harakat];✅ rawand EMA 1h: EMA21=0.05, EMA50=0.05;✅ rawand EMA 4h: EMA21=0.05, EMA50=0.05, EMA200=0.04;❌ RSI 30m: RSI=49.31;❌ MACD 30m: MACD_hist=-0.0001;✅ vorud-e hoshmand poolback: ghimat=0.0486 EMA=0.0488 RSI=49.3 BS15=0.619;✅ ADX: ADX=33.55 [>22], DI+=521.47, DI-=259.45;❌ CCI obruz az 0: CCI=-74.86;✅ SAR: SAR=0.0484, gimat=0.0486;❌ Stochastic cross: K=12.90 D=4.30;❌ rad EMA: bedun rad;❌ test-e moqavemat: bedun test;✅ poolback: poolback tashkhis dadeh shod;✅ Double Top/Bottom: ologhu=DoubleTop;✅ filter-e ranj: faseleh EMA=0.0145 [>0.005];✅ filter-e ranj-e tarkibi: diff=0.0145, ADX=33.55, mode=AND -> OK"
